The initial point is (0.0, 0.0)

  k|                x                 |     alpha     |               step               
 62| ( 0.75621216176,  0.56977688513) | 0.00390625000 | (-0.14158027735,  0.41598969231) 
 63| ( 0.75565911380,  0.57140184487) | 0.00195312500 | ( 0.60388611398, -0.07622971927) 
 64| ( 0.75683857887,  0.57125295870) | 0.00781250000 | ( 0.01657258240,  0.31033515311) 
 65| ( 0.75696805217,  0.57367745208) | 0.00195312500 | ( 0.69099333824, -0.13536401560) 
 66| ( 0.75831764853,  0.57341306924) | 0.00781250000 | (-0.01184609474,  0.32651736733) 
 67| ( 0.75822510092,  0.57596398617) | 0.00195312500 | ( 0.80463462656, -0.21173650206) 
 68| ( 0.75979665292,  0.57555043831) | 0.00390625000 | (-0.04857147828,  0.34810309523) 
 69| ( 0.75960692058,  0.57691021603) | 0.00390625000 | ( 0.45269049577,  0.01849155390) 
 70| ( 0.76137524283,  0.57698244866) | 0.00195312500 | (-0.34802695893,  0.54196234743) 
 71| ( 0.76069550268,  0.57804096887) | 0.00781250000 | ( 0.29096399819,  0.12333578483) 
 72| ( 0.76296865891,  0.57900452969) | 0.00195312500 | (-0.47710128965,  0.62332895908) 
 73| ( 0.76203682046,  0.58022196906) | 0.00390625000 | ( 0.33017716357,  0.09562933408) 
 74| ( 0.76332657500,  0.58059552115) | 0.00390625000 | (-0.15928263023,  0.41438779131) 
 75| ( 0.76270437723,  0.58221422346) | 0.00195312500 | ( 0.62598697081, -0.09925128307) 
 76| ( 0.76392700803,  0.58202037330) | 0.00781250000 | (-0.00580045747,  0.31282006047) 
 77| ( 0.76388169196,  0.58446428002) | 0.00195312500 | ( 0.76221549054, -0.18980814243) 
 78| ( 0.76537039409,  0.58409356099) | 0.00390625000 | (-0.05066888373,  0.33965583075) 
 79| ( 0.76517246876,  0.58542034158) | 0.00390625000 | ( 0.44866626898,  0.01371307363) 
 80| ( 0.76692507137,  0.58547390827) | 0.00195312500 | (-0.36218039729,  0.54003136536) 
 81| ( 0.76621768779,  0.58652865703) | 0.00390625000 | ( 0.29565662479,  0.11217760795) 
 82| ( 0.76737259648,  0.58696685082) | 0.00390625000 | (-0.11606400791,  0.37877020116) 
 83| ( 0.76691922144,  0.58844642191) | 0.00195312500 | ( 0.55246134903, -0.05626593856) 
 84| ( 0.76799824752,  0.58833652750) | 0.00781250000 | ( 0.00787684696,  0.29695613726) 
 85| ( 0.76805978538,  0.59065649733) | 0.00195312500 | ( 0.69142686621, -0.14813268026) 
 86| ( 0.76941022848,  0.59036717568) | 0.00390625000 | (-0.03891679568,  0.32498480171) 
 87| ( 0.76925820975,  0.59163664757) | 0.00390625000 | ( 0.42408049237,  0.02430914004) 
 88| ( 0.77091477417,  0.59173160514) | 0.00195312500 | (-0.33679498023,  0.51559677857) 
 89| ( 0.77025697148,  0.59273863010) | 0.00390625000 | ( 0.28781672732,  0.11143440116) 
 90| ( 0.77138125557,  0.59317392073) | 0.00390625000 | (-0.11516773339,  0.37102414182) 
 91| ( 0.77093138161,  0.59462323379) | 0.00195312500 | ( 0.54695736260, -0.05760772726) 
 92| ( 0.77199965771,  0.59451071869) | 0.00781250000 | ( 0.00121173130,  0.29455056149) 
 93| ( 0.77200912436,  0.59681189496) | 0.00195312500 | ( 0.70728519250, -0.16276137245) 
 94| ( 0.77339054075,  0.59649400165) | 0.00390625000 | (-0.05379639106,  0.32778537445) 
 95| ( 0.77318039860,  0.59777441327) | 0.00195312500 | ( 0.44327069686,  0.00670310140) 
 96| ( 0.77404616168,  0.59778750526) | 0.00781250000 | ( 0.03083735674,  0.27199102881) 
 97| ( 0.77428707853,  0.59991243518) | 0.00195312500 | ( 0.57281708520, -0.07839104046) 
 98| ( 0.77540586190,  0.59975932768) | 0.00390625000 | (-0.01448364468,  0.29898459764) 
 99| ( 0.77534928516,  0.60092723626) | 0.00390625000 | ( 0.37508879918,  0.04785554751) 
100| ( 0.77681447578,  0.60111417199) | 0.00195312500 | (-0.27655356717,  0.46531155822) 
101| ( 0.77627433210,  0.60202298363) | 0.00781250000 | ( 0.26770810665,  0.11577100815) 
102| ( 0.77836580168,  0.60292744463) | 0.00195312500 | (-0.46769562854,  0.58517531844) 
103| ( 0.77745233365,  0.60407036517) | 0.00390625000 | ( 0.33258991633,  0.07235318597) 
104| ( 0.77875151301,  0.60435299481) | 0.00195312500 | (-0.21194530573,  0.42018484315) 
105| ( 0.77833755734,  0.60517366833) | 0.00781250000 | ( 0.24541081884,  0.12713696728) 
106| ( 0.78025482936,  0.60616692589) | 0.00195312500 | (-0.38155086007,  0.52613457132) 
107| ( 0.77950961284,  0.60719453247) | 0.00390625000 | ( 0.30356444305,  0.08814080735) 
108| ( 0.78069541144,  0.60753883250) | 0.00195312500 | (-0.16924119159,  0.38929859008) 
109| ( 0.78036486224,  0.60829918131) | 0.00781250000 | ( 0.23008663401,  0.13402738268) 
110| ( 0.78216241407,  0.60934627023) | 0.00195312500 | (-0.32514414124,  0.48635434966) 
111| ( 0.78152736692,  0.61029618107) | 0.00390625000 | ( 0.28412410160,  0.09776883378) 
112| ( 0.78263722669,  0.61067809058) | 0.00390625000 | (-0.14221834461,  0.36858760419) 
113| ( 0.78208168628,  0.61211788591) | 0.00195312500 | ( 0.58165165730, -0.09322437844) 
114| ( 0.78321772468,  0.61193580705) | 0.00390625000 | (-0.03455127457,  0.29883943991) 
115| ( 0.78308275876,  0.61310314861) | 0.00390625000 | ( 0.39766593918,  0.02309169150) 
116| ( 0.78463614133,  0.61319335053) | 0.00195312500 | (-0.34152176850,  0.49210475188) 
117| ( 0.78396910663,  0.61415449262) | 0.00390625000 | ( 0.28998227266,  0.09061350569) 
118| ( 0.78510184988,  0.61450845163) | 0.00195312500 | (-0.15949268823,  0.37529261213) 
119| ( 0.78479034073,  0.61524144501) | 0.00781250000 | ( 0.22497882270,  0.13088677703) 
120| ( 0.78654798778,  0.61626399796) | 0.00195312500 | (-0.32621539726,  0.47874782417) 
121| ( 0.78591084833,  0.61719905230) | 0.00390625000 | ( 0.28457063033,  0.09136184446) 
122| ( 0.78702245235,  0.61755593451) | 0.00195312500 | (-0.15594286361,  0.36968120101) 
123| ( 0.78671787645,  0.61827796810) | 0.00781250000 | ( 0.22294308669,  0.12940980473) 
124| ( 0.78845961931,  0.61928898220) | 0.00195312500 | (-0.32740635510,  0.47591781763) 
125| ( 0.78782015378,  0.62021850919) | 0.00390625000 | ( 0.28504299183,  0.08841710171) 
126| ( 0.78893360296,  0.62056388849) | 0.00195312500 | (-0.16242010939,  0.37046827866) 
127| ( 0.78861637619,  0.62128745935) | 0.00781250000 | ( 0.22455973798,  0.12566588849) 
128| ( 0.79037074914,  0.62226922410) | 0.00195312500 | (-0.34477930534,  0.48333939889) 
129| ( 0.78969735206,  0.62321324637) | 0.00390625000 | ( 0.29151458029,  0.08173229685) 
130| ( 0.79083608089,  0.62353251315) | 0.00195312500 | (-0.17929233719,  0.37783873707) 
131| ( 0.79048590054,  0.62427047943) | 0.00781250000 | ( 0.23010538136,  0.11949590466) 
132| ( 0.79228359883,  0.62520404119) | 0.00195312500 | (-0.37978851867,  0.50185195872) 
133| ( 0.79154182438,  0.62618422080) | 0.00390625000 | ( 0.30475520600,  0.07084779073) 
134| ( 0.79273227441,  0.62646096998) | 0.00195312500 | (-0.20807613124,  0.39269778183) 
135| ( 0.79232587571,  0.62722795783) | 0.00781250000 | ( 0.24029319826,  0.11046709843) 
136| ( 0.79420316633,  0.62809098204) | 0.00195312500 | (-0.43588380901,  0.53353747220) 
137| ( 0.79335183076,  0.62913304742) | 0.00390625000 | ( 0.32631643111,  0.05481599121) 
138| ( 0.79462650432,  0.62934717238) | 0.00195312500 | (-0.25169148255,  0.41682179729) 
139| ( 0.79413491939,  0.63016127745) | 0.00390625000 | ( 0.25639649891,  0.09779854907) 
140| ( 0.79513646822,  0.63054330304) | 0.00390625000 | (-0.13055546098,  0.33974001042) 
141| ( 0.79462648595,  0.63187041245) | 0.00195312500 | ( 0.55033120654, -0.08783205657) 
142| ( 0.79570135159,  0.63169886547) | 0.00390625000 | (-0.05029495503,  0.28835508959) 
143| ( 0.79550488692,  0.63282525254) | 0.00195312500 | ( 0.40810480576,  0.00055451475) 
144| ( 0.79630196662,  0.63282633557) | 0.00781250000 | ( 0.00271653349,  0.25409729288) 
145| ( 0.79632318953,  0.63481147067) | 0.00195312500 | ( 0.62422060996, -0.13616969666) 
146| ( 0.79754237041,  0.63454551423) | 0.00390625000 | (-0.08264739309,  0.30566367392) 
147| ( 0.79721952903,  0.63573951296) | 0.00195312500 | ( 0.46312831970, -0.03610709757) 
148| ( 0.79812407653,  0.63566899129) | 0.00390625000 | (-0.02182714744,  0.26661005124) 
149| ( 0.79803881424,  0.63671043680) | 0.00390625000 | ( 0.35427726023,  0.03110244656) 
150| ( 0.79942270979,  0.63683193073) | 0.00195312500 | (-0.31664649247,  0.44894763835) 
151| ( 0.79880425961,  0.63770878159) | 0.00390625000 | ( 0.28114143667,  0.07589271555) 
152| ( 0.79990246834,  0.63800523751) | 0.00195312500 | (-0.18812723620,  0.36774427083) 
153| ( 0.79953503233,  0.63872348803) | 0.00781250000 | ( 0.23053626110,  0.10655597891) 
154| ( 0.80133609687,  0.63955595662) | 0.00195312500 | (-0.43080289682,  0.51671670661) 
155| ( 0.80049468497,  0.64056516894) | 0.00390625000 | ( 0.32645964464,  0.04531434425) 
156| ( 0.80176991795,  0.64074217809) | 0.00195312500 | (-0.27472812975,  0.41856464787) 
157| ( 0.80123333957,  0.64155968717) | 0.00390625000 | ( 0.26446856675,  0.08303545459) 
158| ( 0.80226641991,  0.64188404442) | 0.00195312500 | (-0.16527666628,  0.34947282067) 
159| ( 0.80194361392,  0.64256660852) | 0.00781250000 | ( 0.22065989329,  0.10939027884) 
160| ( 0.80366751934,  0.64342122007) | 0.00195312500 | (-0.39823117849,  0.49205231399) 
161| ( 0.80288972407,  0.64438225975) | 0.00390625000 | ( 0.31404100738,  0.04992985370) 
162| ( 0.80411644676,  0.64457729824) | 0.00195312500 | (-0.25987976010,  0.40519234046) 
163| ( 0.80360886910,  0.64536868953) | 0.00390625000 | ( 0.25824689807,  0.08370499286) 
164| ( 0.80461764604,  0.64569566216) | 0.00195312500 | (-0.16085030687,  0.34277883354) 
165| ( 0.80430348529,  0.64636515207) | 0.00781250000 | ( 0.21799987489,  0.10778887602) 
166| ( 0.80600660931,  0.64720725266) | 0.00195312500 | (-0.39848596504,  0.48788031842) 
167| ( 0.80522831641,  0.64816014391) | 0.00390625000 | ( 0.31465467249,  0.04649952830) 
168| ( 0.80645743623,  0.64834178269) | 0.00195312500 | (-0.26834662210,  0.40636275045) 
169| ( 0.80593332173,  0.64913545994) | 0.00390625000 | ( 0.26141835097,  0.07861182707) 
170| ( 0.80695448716,  0.64944253739) | 0.00195312500 | (-0.17329530061,  0.34660139287) 
171| ( 0.80661601978,  0.65011949323) | 0.00781250000 | ( 0.22224406201,  0.10198202610) 
172| ( 0.80835230151,  0.65091622781) | 0.00195312500 | (-0.43062662961,  0.50344310992) 
173| ( 0.80751123388,  0.65189951514) | 0.00390625000 | ( 0.32848801869,  0.03497554036) 
174| ( 0.80879439020,  0.65203613834) | 0.00195312500 | (-0.30093504513,  0.42244545575) 
175| ( 0.80820662644,  0.65286122712) | 0.00390625000 | ( 0.27472651923,  0.06734478010) 
176| ( 0.80927977691,  0.65312429267) | 0.00195312500 | (-0.20430804710,  0.36189292806) 
177| ( 0.80888073775,  0.65383111479) | 0.00390625000 | ( 0.23439353202,  0.09138662232) 
